,X,isocode,country,Confirmed,Deaths,tests,MaxStringencyIndex,MeanStringencyIndex,MaxFacialCoverings,MeanFacialCoverings,MaxStayHome,MeanStayHome,totalvacci0tions,totalbooster,fullyvacnumber,logofConfirmed,logofDeaths,logofTests,logofTotalVaccines,logofTotalBoosters,logofFullyVacci0ted
126,125,PAK,Pakistan,1287161,28777,3968706525,78.24,57.27072327,4,3.408805031,3,1.874213836,126586512,0,52303524,14.06794958,10.26733174,22.10170607,18.65643652,0,17.77257431
127,126,PSE,Palestine,0,0,0,92.59,72.9614759,4,2.725856698,3,1.850152905,3024477,0,1365858,0,0,0,14.92224874,0,14.12729336
128,127,PAN,Pa0ma,479053,7374,920595190,89.81,68.38151976,4,4,3,2.265432099,5650424,201734,2437285,13.07956652,8.905715579,20.64053096,15.54724114,12.21470528,14.70639527
129,128,PNG,Papua New Guinea,35538,550,431741,74.07,55.32717718,4,2.987767584,2,1.204892966,467166,0,197800,10.47835783,6.309918278,12.97558115,13.05443993,0,12.1950117
130,129,PRY,Paraguay,463260,16476,445876845,76.85,48.86142415,3,2.977419355,2,1.735849057,6216388,117151,2703605,13.04604373,9.709660056,19.91555334,15.64269959,11.67121898,14.81009663
131,130,PER,Peru,2243415,201379,1240502624,86.11,72.89134557,4,3.850931677,3,2.293577982,42111301,992007,18576645,14.62350982,12.21294398,20.93878248,17.55582669,13.80748544,16.7374157
132,131,PHL,Philippines,2834775,49386,4659585083,81.02,70.7603537,4,3.504823151,3,2.099678457,91777433,509944,38168603,14.85747313,10.80742226,22.26219224,18.334877,13.14205619,17.45752382
133,132,POL,Poland,3671421,85675,5148674189,80.56,55.56753049,3,2.110091743,1,1,42672883,3637272,20521241,15.11608934,11.35831635,22.36200508,17.56907422,15.10674451,16.83697105
134,133,PRT,Portugal,1166787,18537,4387155098,87.96,63.28830247,3,2.787037037,2,1.046296296,17862361,1530075,9005089,13.96976438,9.827524014,22.20194681,16.69820632,14.24082731,16.01330042
135,134,PRI,Puerto Rico,0,0,0,70.37,43.8168,4,2.800632911,2,0.88,0,0,0,0,0,0,0,0,0
136,135,QAT,Qatar,244223,611,602282436,85.19,60.50075075,4,3.464831804,2,1.159021407,5011447,0,0,12.40583702,6.415096959,20.21623706,15.42723525,0,0
